code,name,market,asset_type,aliases,is_delisted,is_managed
005930,삼성전자,KOSPI,COMMON_STOCK,삼전|삼성전자보통주,0,0
005935,삼성전자우,KOSPI,PREFERRED_STOCK,삼전우,0,0
000660,SK하이닉스,KOSPI,COMMON_STOCK,하이닉스|SK하닉|에스케이하이닉스,0,0
000880,한화,KOSPI,COMMON_STOCK,,0,0
001680,대상,KOSPI,COMMON_STOCK,,0,0
003550,LG,KOSPI,COMMON_STOCK,엘지|LG주식회사,0,0
005380,현대차,KOSPI,COMMON_STOCK,현차|현대자동차,0,0
005490,POSCO홀딩스,KOSPI,COMMON_STOCK,포스코|포스코홀딩스,0,0
010130,고려아연,KOSPI,COMMON_STOCK,,0,0
035420,NAVER,KOSPI,COMMON_STOCK,네이버,0,0
035720,카카오,KOSPI,COMMON_STOCK,,0,0
051910,LG화학,KOSPI,COMMON_STOCK,엘지화학,0,0
068270,셀트리온,KOSPI,COMMON_STOCK,,0,0
207940,삼성바이오로직스,KOSPI,COMMON_STOCK,삼바|삼성바이오,0,0
086520,에코프로,KOSDAQ,COMMON_STOCK,,0,0
247540,에코프로비엠,KOSDAQ,COMMON_STOCK,,0,0
196170,알테오젠,KOSDAQ,COMMON_STOCK,,0,0
